Reference, Quantity, Value, Footprint, Datasheet, SN-DK, PN, Mfg
C1 ,1,"10uF","Capacitors_SMD:C_0805","","1276-2402-1-ND","",""
C10 C11 C12 C14 C9 ,5,"1uF","Capacitors_SMD:C_0603",""
C15 ,1,"10n","Capacitors_SMD:C_0603",""
C16 C17 ,2,"26pF","Capacitors_SMD:C_0603","","1276-2229-1-ND","",""
C13 C18 C19 C2 C20 C21 C22 C23 C24 C25 C26 C27 C28 C29 C3 C30 C31 ,17,"100n","Capacitors_SMD:C_0603",""
C4 C5 C6 ,3,"22nF","Capacitors_SMD:C_0603","","1276-1104-1-ND","",""
C7 C8 ,2,"22uF","Capacitors_SMD:C_0805","","490-1719-1-ND","",""
D1 D2 D3 D4 D5 D6 ,6,"led green","LEDs:LED_0805",""
J1 J2 ,2,"Conn_02x12_Odd_Even","",""
J3 ,1,"MicroSD","lib:SD_holder_472190001","","WM6698CT-ND","",""
J4 ,1,"USB_OTG","Connectors:USB_Micro-B_10103594-0001LF","","609-4618-1-ND","",""
J5 ,1,"Conn_02x05_Odd_Even","Pin_Headers:Pin_Header_Straight_2x05_Pitch2.54mm",""
J6 ,1,"cortex SWD","lib:CORTEX_SWD",""
J7 ,1,"Conn_01x10","Pin_Headers:Pin_Header_Straight_1x10_Pitch2.54mm",""
JP1 ,1,"Jumper_NC_Small","Resistors_SMD:R_0201_NoSilk",""
L1 ,1,"4.7uH","Inductors:Inductor_Taiyo-Yuden_MD-3030","","490-15977-1-ND","LQH3NPZ4R7MMEL","Murata Electronics North America"
R10 ,1,"23K","Resistors_SMD:R_0603","","P23.2KHCT-ND","",""
R12 ,1,"1K","Resistors_SMD:R_0603",""
R2 ,1,"2.0K","Resistors_SMD:R_0603","","P2.00KHCT-ND","",""
R4 ,1,"15K","Resistors_SMD:R_0603","","P15.0KHCT-ND","",""
R6 ,1,"17.8K","Resistors_SMD:R_0603","","P17.8KHCT-ND","",""
R11 R3 R5 R7 R9 ,5,"10K","Resistors_SMD:R_0603","","P10.0KHCT-ND","",""
R8 ,1,"8.0K","Resistors_SMD:R_0603","","P8.06KHCT-ND","",""
RN1 RN2 ,2,"R_Pack04","Resistors_SMD:R_Array_Convex_4x0603",""
U1 ,1,"ICE5LP4K-SG48","Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm","","220-2068-1-ND","",""
U10 ,1,"TXS02612","Housings_DFN_QFN:QFN-24-1EP_4x4mm_Pitch0.5mm","","296-23869-1-ND","",""
U2 ,1,"S27KS0641","lib:BGA_24",""
U4 ,1,"Boson","lib:DF40_80Pin","","H11919CT-ND","",""
U5 ,1,"ATSAMD51G19A","Housings_DFN_QFN:QFN-48-1EP_7x7mm_Pitch0.5mm","","ATSAMD51G19A-MU-ND","",""
U6 U7 ,2,"SC560A","lib:MLPQ-UT8","","SC560CULCT-ND","",""
U8 ,1,"TS30011","Housings_DFN_QFN:QFN-16-1EP_3x3mm_Pitch0.5mm_ThermalVias","","TS30011-M033QFNRCT-ND","TS30011-M033QFNR","Semtech Corporation"
Y1 ,1,"16MHz","Crystals:Crystal_SMD_3225-4pin_3.2x2.5mm","","SER4046CT-ND","",""
